[TID]               [Nom]               [Début]            [Fin]               [Durée Totale]
140223419758144     chandelier          17:48:54            17:48:55            601ms
140223436543552     table               17:48:54            17:48:55            601ms
140223428150848     coupe               17:48:55            17:48:55            200ms
140223300236864     bague               17:48:54            17:48:55            601ms
140223436543552     porte               17:48:55            17:48:55            200ms
140223411365440     bague               17:48:54            17:48:55            802ms
140223300236864     porte               17:48:55            17:48:55            200ms
140223453328960     chandelier          17:48:55            17:48:55            801ms
140223419758144     table               17:48:55            17:48:55            600ms
140223444936256     epee                17:48:55            17:48:56            800ms
140223428150848     table               17:48:55            17:48:56            600ms
140223411365440     table               17:48:55            17:48:56            600ms
140223453328960     coupe               17:48:55            17:48:56            400ms
140223436543552     bague               17:48:55            17:48:56            800ms
140223444936256     epee                17:48:56            17:48:56            400ms
140223300236864     bague               17:48:55            17:48:56            801ms
140223419758144     coupe               17:48:56            17:48:56            600ms
140223428150848     chandelier          17:48:56            17:48:56            600ms
140223411365440     table               17:48:56            17:48:56            600ms
140223453328960     table               17:48:56            17:48:57            600ms
140223436543552     table               17:48:56            17:48:57            800ms
140223300236864     bague               17:48:56            17:48:57            800ms
140223419758144     porte               17:48:56            17:48:57            600ms
140223444936256     chandelier          17:48:56            17:48:57            1000ms
140223411365440     table               17:48:57            17:48:57            600ms
140223453328960     bague               17:48:57            17:48:57            600ms
140223428150848     porte               17:48:56            17:48:57            1000ms
140223300236864     epee                17:48:57            17:48:57            400ms
140223436543552     coupe               17:48:57            17:48:58            600ms
140223411365440     chandelier          17:48:57            17:48:58            200ms
140223444936256     coupe               17:48:57            17:48:58            600ms
140223453328960     chandelier          17:48:57            17:48:58            400ms
140223419758144     coupe               17:48:57            17:48:58            800ms
140223444936256     table               17:48:58            17:48:58            200ms
140223428150848     epee                17:48:57            17:48:58            801ms
140223436543552     porte               17:48:58            17:48:58            600ms
140223411365440     epee                17:48:58            17:48:58            600ms
140223300236864     porte               17:48:58            17:48:58            800ms
140223444936256     bague               17:48:58            17:48:58            200ms
140223453328960     epee                17:48:58            17:48:59            600ms
140223436543552     table               17:48:58            17:48:59            200ms
140223419758144     coupe               17:48:58            17:48:59            800ms
140223300236864     chandelier          17:48:58            17:48:59            400ms
140223453328960     table               17:48:59            17:48:59            200ms
140223444936256     chandelier          17:48:59            17:48:59            400ms
140223428150848     porte               17:48:58            17:48:59            800ms
140223419758144     chandelier          17:48:59            17:48:59            400ms
140223411365440     porte               17:48:58            17:48:59            800ms
140223444936256     epee                17:48:59            17:48:59            400ms
140223436543552     table               17:48:59            17:48:59            600ms
140223300236864     coupe               17:48:59            17:49:00            800ms
140223428150848     bague               17:48:59            17:49:00            400ms
140223453328960     coupe               17:48:59            17:49:00            800ms
140223411365440     table               17:48:59            17:49:00            400ms
140223444936256     coupe               17:48:59            17:49:00            600ms
140223428150848     table               17:49:00            17:49:00            200ms
140223419758144     epee                17:48:59            17:49:00            1000ms
140223436543552     porte               17:49:00            17:49:00            600ms
140223444936256     chandelier          17:49:00            17:49:00            400ms
140223300236864     porte               17:49:00            17:49:00            800ms
140223428150848     epee                17:49:00            17:49:01            400ms
140223453328960     porte               17:49:00            17:49:01            800ms
140223419758144     chandelier          17:49:00            17:49:01            600ms
140223411365440     porte               17:49:00            17:49:01            800ms
140223300236864     porte               17:49:01            17:49:01            400ms
140223436543552     table               17:49:00            17:49:01            801ms
140223444936256     table               17:49:00            17:49:01            1001ms
140223428150848     bague               17:49:01            17:49:02            1001ms
140223300236864     porte               17:49:01            17:49:02            400ms
140223453328960     chandelier          17:49:01            17:49:02            1001ms
140223419758144     table               17:49:01            17:49:02            1001ms
140223444936256     coupe               17:49:02            17:49:02            200ms
140223436543552     bague               17:49:01            17:49:02            601ms
140223453328960     coupe               17:49:02            17:49:02            200ms
140223428150848     bague               17:49:02            17:49:02            600ms
140223419758144     epee                17:49:02            17:49:02            400ms
140223300236864     table               17:49:02            17:49:02            601ms
